time_s,material_in_total_mol,material_out_total_mol,material_bed_total_mol,material_balance_error_mol,heat_in_total_J,heat_out_total_J,heat_bed_total_J,heat_balance_error_J
0.0,0.0,0.0,1594.9199015144834,0.0,0.0,0.0,-453315016.303704,0.0
5.0,3.925,3.9247945805931037,1594.9201069338903,4.263256414560601e-14,16467.942342500006,16467.08047372311,-453315015.4418353,-3.7769495975226164e-08
5.0,3.925,3.9247945805931037,1594.9201069338903,4.263256414560601e-14,16467.942342500006,16467.08047372311,-453315015.4418353,-3.7769495975226164e-08
8.0,6.473500133314462,6.4570879247622734,1594.936313723036,3.490541189421492e-13,27160.567375691364,27091.707425589026,-453314947.44375384,8.248389349319041e-08
8.0,6.473500133314462,6.4570879247622734,1594.936313723036,3.490541189421492e-13,27160.567375691364,27091.707425589026,-453314947.44375384,8.248389349319041e-08
10.0,8.387500136691834,8.364967625991573,1594.9424340251835,-1.580957587066223e-13,35607.54227539587,35121.33736137597,-453314530.09878993,7.311609806492925e-08
10.0,8.387500136691834,8.364967625991573,1594.9424340251835,-1.580957587066223e-13,35607.54227539587,35121.33736137597,-453314530.09878993,7.311609806492925e-08
10.0,8.387500136691834,8.364967625991573,1594.9424340251835,-1.580957587066223e-13,35607.54227539587,35121.33736137597,-453314530.09878993,7.311609806492925e-08
12.0,10.387500136691834,10.259043378524295,1595.0483582726506,-3.3573144264664734e-13,46014.00991010885,43662.53568858284,-453312664.82948273,-2.3685424821451306e-07
12.0,10.387500136691834,10.259043378524295,1595.0483582726508,-1.0835776720341528e-13,46014.00991010885,43662.53568858284,-453312664.8294826,-1.1764495866373181e-07
20.0,18.387500136691827,17.74597098870854,1595.5614306624666,-9.592326932761353e-14,104442.44487936715,81227.09801706439,-453291800.95684177,-4.623143468052149e-08
20.0,18.387500136691827,17.74597098870854,1595.5614306624668,1.3145040611561853e-13,104442.44487936715,81227.09801706439,-453291800.9568417,1.3373210094869137e-08
20.0,18.387500136691827,17.74597098870854,1595.5614306624668,1.3145040611561853e-13,104442.44487936715,81227.09801706439,-453291800.9568417,1.3373210094869137e-08
