time_s,MassTrsf.Gas_comps,MassTrsf.Cell_centers,value
0.0,1.0,0.0625,1.0
0.0,1.0,0.1875,1.0
0.0,1.0,0.3125,1.0
0.0,1.0,0.4375,1.0
0.0,1.0,0.5625,1.0
0.0,1.0,0.6875,1.0
0.0,1.0,0.8125,1.0
0.0,1.0,0.9375,1.0
0.0,1.0,1.0625,1.0
0.0,1.0,1.1875,1.0
0.0,1.0,1.3125,1.0
0.0,1.0,1.4375,1.0
0.0,1.0,1.5625,1.0
0.0,1.0,1.6875,1.0
0.0,1.0,1.8125,1.0
0.0,1.0,1.9375,1.0
0.0,1.0,2.0625,1.0
0.0,1.0,2.1875,1.0
0.0,1.0,2.3125,1.0
0.0,1.0,2.4375,0.9999999999999999
0.0,2.0,0.0625,-1.2220601657752057e-74
0.0,2.0,0.1875,-3.939021370029104e-64
0.0,2.0,0.3125,1.255187145676114e-54
0.0,2.0,0.4375,-3.996084364321453e-45
0.0,2.0,0.5625,3.9997313318708966e-45
0.0,2.0,0.6875,1.491378369990795e-53
0.0,2.0,0.8125,-4.032223910497435e-92
0.0,2.0,0.9375,1.2790505319166483e-82
0.0,2.0,1.0625,-4.0535280297781175e-73
0.0,2.0,1.1875,4.0572614813306476e-73
0.0,2.0,1.3125,-2.0118188452524736e-93
0.0,2.0,1.4375,6.340598132704536e-84
0.0,2.0,1.5625,-6.373179226500631e-84
0.0,2.0,1.6875,-7.457875491735657e-94
0.0,2.0,1.8125,7.49699829633553e-94
0.0,2.0,1.9375,-5.264352986206192e-102
0.0,2.0,2.0625,-3.528372032235821e-103
0.0,2.0,2.1875,1.2802411537543972e-111
0.0,2.0,2.3125,4.1524188694335915e-113
0.0,2.0,2.4375,3.110916795166254e-121
0.0,3.0,0.0625,4.279079076972103e-36
0.0,3.0,0.1875,-4.2829630826839046e-36
0.0,3.0,0.3125,-1.9612299151189281e-56
0.0,3.0,0.4375,6.243881819252269e-47
0.0,3.0,0.5625,-6.249580206048276e-47
0.0,3.0,0.6875,-2.4759211221008257e-55
0.0,3.0,0.8125,1.4577582398792733e-56
0.0,3.0,0.9375,5.7752783222805505e-65
0.0,3.0,1.0625,-3.4003457521427114e-66
0.0,3.0,1.1875,-1.2678942129158276e-74
0.0,3.0,1.3125,-5.909540435222863e-84
0.0,3.0,1.4375,6.340598130746233e-84
0.0,3.0,1.5625,7.419357109727771e-94
0.0,3.0,1.6875,-7.341346184518887e-94
0.0,3.0,1.8125,-1.1714059925300812e-95
0.0,3.0,1.9375,1.727365826292125e-103
0.0,3.0,2.0625,-7.299012630929448e-103
0.0,3.0,2.1875,2.0061389514924456e-93
0.0,3.0,2.3125,-5.463882073840134e-84
0.0,3.0,2.4375,1.4801208633627538e-74
5.0,1.0,0.0625,1.0
5.0,1.0,0.1875,1.0
5.0,1.0,0.3125,1.0
5.0,1.0,0.4375,1.0
5.0,1.0,0.5625,1.0
5.0,1.0,0.6875,1.0
5.0,1.0,0.8125,1.0
5.0,1.0,0.9375,1.0
5.0,1.0,1.0625,1.0000000000000002
5.0,1.0,1.1875,1.0
5.0,1.0,1.3125,1.0
5.0,1.0,1.4375,1.0
5.0,1.0,1.5625,1.0
5.0,1.0,1.6875,1.0
5.0,1.0,1.8125,1.0
5.0,1.0,1.9375,1.0000000000000002
5.0,1.0,2.0625,1.0
5.0,1.0,2.1875,1.0000000000000002
5.0,1.0,2.3125,1.0
5.0,1.0,2.4375,0.9999999999999999
5.0,2.0,0.0625,1.4738370986599468e-25
5.0,2.0,0.1875,9.501872655753913e-25
5.0,2.0,0.3125,-1.1477261205774213e-25
5.0,2.0,0.4375,9.174193474970535e-25
5.0,2.0,0.5625,7.208358510050519e-25
5.0,2.0,0.6875,4.689729153845316e-26
5.0,2.0,0.8125,-5.536407297351574e-25
5.0,2.0,0.9375,1.2507848388769209e-26
5.0,2.0,1.0625,-5.724093883390851e-25
5.0,2.0,1.1875,1.1965229978270331e-24
