time_s,metric,value
0.0,heat_in_total_J,0.0
0.0,heat_out_total_J,0.0
0.0,heat_bed_total_J,-453315016.303704
0.0,heat_balance_error_J,0.0
5.0,heat_in_total_J,16467.942342500006
5.0,heat_out_total_J,16467.08047372311
5.0,heat_bed_total_J,-453315015.4418353
5.0,heat_balance_error_J,-3.7769495975226164e-08
5.0,heat_in_total_J,16467.942342500006
5.0,heat_out_total_J,16467.08047372311
5.0,heat_bed_total_J,-453315015.4418353
5.0,heat_balance_error_J,-3.7769495975226164e-08
8.0,heat_in_total_J,27160.567375691364
8.0,heat_out_total_J,27091.707425589026
8.0,heat_bed_total_J,-453314947.44375384
8.0,heat_balance_error_J,8.248389349319041e-08
8.0,heat_in_total_J,27160.567375691364
8.0,heat_out_total_J,27091.707425589026
8.0,heat_bed_total_J,-453314947.44375384
8.0,heat_balance_error_J,8.248389349319041e-08
10.0,heat_in_total_J,35607.54227539587
10.0,heat_out_total_J,35121.33736137597
10.0,heat_bed_total_J,-453314530.09878993
10.0,heat_balance_error_J,7.311609806492925e-08
10.0,heat_in_total_J,35607.54227539587
10.0,heat_out_total_J,35121.33736137597
10.0,heat_bed_total_J,-453314530.09878993
10.0,heat_balance_error_J,7.311609806492925e-08
10.0,heat_in_total_J,35607.54227539587
10.0,heat_out_total_J,35121.33736137597
10.0,heat_bed_total_J,-453314530.09878993
10.0,heat_balance_error_J,7.311609806492925e-08
12.0,heat_in_total_J,46014.00991010885
12.0,heat_out_total_J,43662.53568858284
12.0,heat_bed_total_J,-453312664.82948273
12.0,heat_balance_error_J,-2.3685424821451306e-07
12.0,heat_in_total_J,46014.00991010885
12.0,heat_out_total_J,43662.53568858284
12.0,heat_bed_total_J,-453312664.8294826
12.0,heat_balance_error_J,-1.1764495866373181e-07
20.0,heat_in_total_J,104442.44487936715
20.0,heat_out_total_J,81227.09801706439
20.0,heat_bed_total_J,-453291800.95684177
20.0,heat_balance_error_J,-4.623143468052149e-08
20.0,heat_in_total_J,104442.44487936715
20.0,heat_out_total_J,81227.09801706439
20.0,heat_bed_total_J,-453291800.9568417
20.0,heat_balance_error_J,1.3373210094869137e-08
20.0,heat_in_total_J,104442.44487936715
20.0,heat_out_total_J,81227.09801706439
20.0,heat_bed_total_J,-453291800.9568417
20.0,heat_balance_error_J,1.3373210094869137e-08
