time_s,MassTrsf.Cell_centers,value
0.0,0.0625,107150.18565058285
0.0,0.1875,107053.01648875786
0.0,0.3125,106955.75919881687
0.0,0.4375,106858.41354082718
0.0,0.5625,106760.97927356318
0.0,0.6875,106663.45615475094
0.0,0.8125,106565.84394101077
0.0,0.9375,106468.1423878503
0.0,1.0625,106370.35124965724
0.0,1.1875,106272.47027969222
0.0,1.3125,106174.4992300888
0.0,1.4375,106024.66888541322
0.0,1.5625,105482.64742540092
0.0,1.6875,104937.85140253563
0.0,1.8125,104390.23789860615
0.0,1.9375,103839.76287859396
0.0,2.0625,103286.38115073982
0.0,2.1875,102730.0463233773
0.0,2.3125,102170.71075991278
0.0,2.4375,101608.32553128272
5.0,0.0625,107169.14172294873
5.0,0.1875,107071.98973476207
5.0,0.3125,106974.66696647851
5.0,0.4375,106877.25555233132
5.0,0.5625,106779.75527329986
5.0,0.6875,106682.16588574197
5.0,0.8125,106584.48714489324
5.0,0.9375,106486.71880486674
5.0,1.0625,106388.86061864569
5.0,1.1875,106290.91233807626
5.0,1.3125,106192.8737138601
5.0,1.4375,106042.9223239684
5.0,1.5625,105500.30799771732
5.0,1.6875,104953.14921506148
5.0,1.8125,104403.12029285815
5.0,1.9375,103850.17834646911
5.0,2.0625,103294.27660235814
5.0,2.1875,102735.36701736496
5.0,2.3125,102173.40023441061
5.0,2.4375,101608.32553164159
5.0,0.0625,107169.14172294873
5.0,0.1875,107071.98973476207
5.0,0.3125,106974.66696647851
5.0,0.4375,106877.25555233132
5.0,0.5625,106779.75527329986
5.0,0.6875,106682.16588574197
5.0,0.8125,106584.48714489324
5.0,0.9375,106486.71880486674
5.0,1.0625,106388.86061864569
5.0,1.1875,106290.91233807626
5.0,1.3125,106192.8737138601
5.0,1.4375,106042.9223239684
5.0,1.5625,105500.30799771732
5.0,1.6875,104953.14921506148
5.0,1.8125,104403.12029285815
5.0,1.9375,103850.17834646911
5.0,2.0625,103294.27660235814
5.0,2.1875,102735.36701736496
5.0,2.3125,102173.40023441061
5.0,2.4375,101608.32553164159
8.0,0.0625,108851.15772770371
8.0,0.1875,108723.96033202104
8.0,0.3125,108596.58569135505
8.0,0.4375,108469.17187007835
8.0,0.5625,108341.7167475844
8.0,0.6875,108214.21814062665
8.0,0.8125,108086.67385502915
8.0,0.9375,107959.08168554971
8.0,1.0625,107831.43941572025
8.0,1.1875,107703.74481768628
8.0,1.3125,107575.99565204342
8.0,1.4375,107381.00081025292
8.0,1.5625,106687.73649223846
8.0,1.6875,105987.49869690421
8.0,1.8125,105282.94298053504
8.0,1.9375,104573.93626725787
8.0,2.0625,103860.334899819
8.0,2.1875,103141.9899652761
8.0,2.3125,102418.74702486525
8.0,2.4375,101690.44581300917
8.0,0.0625,108851.15772770371
8.0,0.1875,108723.96033202104
8.0,0.3125,108596.58569135505
8.0,0.4375,108469.17187007835
8.0,0.5625,108341.7167475844
8.0,0.6875,108214.21814062665
8.0,0.8125,108086.67385502915
8.0,0.9375,107959.08168554971
8.0,1.0625,107831.43941572025
8.0,1.1875,107703.74481768628
8.0,1.3125,107575.99565204342
8.0,1.4375,107381.00081025292
8.0,1.5625,106687.73649223846
8.0,1.6875,105987.49869690421
8.0,1.8125,105282.94298053504
8.0,1.9375,104573.93626725787
8.0,2.0625,103860.334899819
8.0,2.1875,103141.9899652761
8.0,2.3125,102418.74702486525
8.0,2.4375,101690.44581300917
10.0,0.0625,109360.22803234955
10.0,0.1875,109242.55351513765
10.0,0.3125,109123.52682288433
10.0,0.4375,109003.05898317763
10.0,0.5625,108881.06401745553
10.0,0.6875,108757.5182711373
10.0,0.8125,108632.41028517547
10.0,0.9375,108505.73133579544
10.0,1.0625,108377.47126202499
10.0,1.1875,108247.62492701143
10.0,1.3125,108116.17130417653
10.0,1.4375,107913.21424669561
10.0,1.5625,107185.13832748936
10.0,1.6875,106445.01397243362
10.0,1.8125,105692.70139715105
10.0,1.9375,104927.97871413121
10.0,2.0625,104150.62841092754
10.0,2.1875,103360.4430979444
10.0,2.3125,102557.19896903732
10.0,2.4375,101738.33476891385
10.0,0.0625,109360.22803234955
10.0,0.1875,109242.55351513765
10.0,0.3125,109123.52682288433
10.0,0.4375,109003.05898317763
10.0,0.5625,108881.06401745553
10.0,0.6875,108757.5182711373
10.0,0.8125,108632.41028517547
10.0,0.9375,108505.73133579544
10.0,1.0625,108377.47126202499
10.0,1.1875,108247.62492701143
10.0,1.3125,108116.17130417653
10.0,1.4375,107913.21424669561
10.0,1.5625,107185.13832748936
10.0,1.6875,106445.01397243362
10.0,1.8125,105692.70139715105
10.0,1.9375,104927.97871413121
10.0,2.0625,104150.62841092754
10.0,2.1875,103360.4430979444
10.0,2.3125,102557.19896903732
10.0,2.4375,101738.33476891385
10.0,0.0625,109360.22803234955
10.0,0.1875,109242.55351513765
10.0,0.3125,109123.52682288433
10.0,0.4375,109003.05898317763
10.0,0.5625,108881.06401745553
10.0,0.6875,108757.5182711373
10.0,0.8125,108632.41028517547
10.0,0.9375,108505.73133579544
10.0,1.0625,108377.47126202499
10.0,1.1875,108247.62492701143
10.0,1.3125,108116.17130417653
10.0,1.4375,107913.21424669561
10.0,1.5625,107185.13832748936
10.0,1.6875,106445.01397243362
10.0,1.8125,105692.70139715105
10.0,1.9375,104927.97871413121
10.0,2.0625,104150.62841092754
10.0,2.1875,103360.4430979444
10.0,2.3125,102557.19896903732
10.0,2.4375,101738.33476891385
12.0,0.0625,116287.74924436129
12.0,0.1875,116209.7408463549
12.0,0.3125,116131.08829328517
12.0,0.4375,116051.534286131
12.0,0.5625,115971.05167541919
12.0,0.6875,115889.6399493886
12.0,0.8125,115807.310273707
12.0,0.9375,115724.0765287523
12.0,1.0625,115639.95150198546
12.0,1.1875,115554.95259917174
12.0,1.3125,115469.08314242546
12.0,1.4375,115336.61870319131
12.0,1.5625,114854.49907217735
12.0,1.6875,114366.4955823816
12.0,1.8125,113872.91638838327
12.0,1.9375,113373.81842336642
12.0,2.0625,112869.28879156106
12.0,2.1875,112359.34835868815
12.0,2.3125,111844.17939354962
12.0,2.4375,111322.12906533928
12.0,0.0625,116287.7492442931
12.0,0.1875,116209.74084635613
12.0,0.3125,116131.0882932855
12.0,0.4375,116051.5342861317
12.0,0.5625,115971.0516754202
