time_s,MassTrsf.Solid_comps,MassTrsf.Cell_centers,value
0.0,1.0,0.0625,0.8886255924170616
0.0,1.0,0.1875,0.8886255924170616
0.0,1.0,0.3125,0.8886255924170616
0.0,1.0,0.4375,0.8886255924170616
0.0,1.0,0.5625,0.8886255924170616
0.0,1.0,0.6875,0.8886255924170616
0.0,1.0,0.8125,0.8886255924170616
0.0,1.0,0.9375,0.8886255924170616
0.0,1.0,1.0625,0.8886255924170616
0.0,1.0,1.1875,0.8886255924170616
0.0,1.0,1.3125,0.8886255924170616
0.0,1.0,1.4375,0.8540372670807453
0.0,1.0,1.5625,0.8540372670807453
0.0,1.0,1.6875,0.8540372670807453
0.0,1.0,1.8125,0.8540372670807453
0.0,1.0,1.9375,0.8540372670807453
0.0,1.0,2.0625,0.8540372670807453
0.0,1.0,2.1875,0.8540372670807453
0.0,1.0,2.3125,0.8540372670807453
0.0,1.0,2.4375,0.8540372670807453
0.0,2.0,0.0625,0.0
0.0,2.0,0.1875,0.0
0.0,2.0,0.3125,0.0
0.0,2.0,0.4375,0.0
0.0,2.0,0.5625,0.0
0.0,2.0,0.6875,0.0
0.0,2.0,0.8125,0.0
0.0,2.0,0.9375,0.0
0.0,2.0,1.0625,0.0
0.0,2.0,1.1875,0.0
0.0,2.0,1.3125,0.0
0.0,2.0,1.4375,0.0
0.0,2.0,1.5625,0.0
0.0,2.0,1.6875,0.0
0.0,2.0,1.8125,0.0
0.0,2.0,1.9375,0.0
0.0,2.0,2.0625,0.0
0.0,2.0,2.1875,0.0
0.0,2.0,2.3125,0.0
0.0,2.0,2.4375,0.0
0.0,3.0,0.0625,0.11137440758293839
0.0,3.0,0.1875,0.11137440758293839
0.0,3.0,0.3125,0.11137440758293839
0.0,3.0,0.4375,0.11137440758293839
0.0,3.0,0.5625,0.11137440758293839
0.0,3.0,0.6875,0.11137440758293839
0.0,3.0,0.8125,0.11137440758293839
0.0,3.0,0.9375,0.11137440758293839
0.0,3.0,1.0625,0.11137440758293839
0.0,3.0,1.1875,0.11137440758293839
0.0,3.0,1.3125,0.11137440758293839
0.0,3.0,1.4375,0.14596273291925466
0.0,3.0,1.5625,0.14596273291925466
0.0,3.0,1.6875,0.14596273291925466
