time_s,MassTrsf.Cell_centers,value
0.0,0.0625,500.0
0.0,0.1875,500.0
0.0,0.3125,500.0
0.0,0.4375,500.0
0.0,0.5625,500.0
0.0,0.6875,500.0
0.0,0.8125,500.0
0.0,0.9375,500.0
0.0,1.0625,500.0
0.0,1.1875,500.0
0.0,1.3125,500.0
0.0,1.4375,500.0
0.0,1.5625,500.0
0.0,1.6875,500.0
0.0,1.8125,500.0
0.0,1.9375,500.0
0.0,2.0625,500.0
0.0,2.1875,500.0
0.0,2.3125,500.0
0.0,2.4375,500.0
5.0,0.0625,499.9999999999993
5.0,0.1875,500.0000000000016
5.0,0.3125,500.00000000000216
5.0,0.4375,499.99999999999983
5.0,0.5625,500.00000000000085
5.0,0.6875,499.9999999999985
5.0,0.8125,499.999999999999
5.0,0.9375,500.0000000000009
5.0,1.0625,500.000000000002
5.0,1.1875,499.9999999999979
5.0,1.3125,499.9999999999986
5.0,1.4375,500.00000000000057
5.0,1.5625,499.99999999999983
5.0,1.6875,499.99999999999795
5.0,1.8125,500.0
5.0,1.9375,500.0000000000028
5.0,2.0625,499.9999999999991
5.0,2.1875,500.0000000000004
5.0,2.3125,499.9999999999995
5.0,2.4375,499.99999999999835
5.0,0.0625,499.9999999999993
5.0,0.1875,500.0000000000016
5.0,0.3125,500.00000000000216
5.0,0.4375,499.99999999999983
5.0,0.5625,500.00000000000085
5.0,0.6875,499.9999999999985
5.0,0.8125,499.999999999999
5.0,0.9375,500.0000000000009
5.0,1.0625,500.000000000002
5.0,1.1875,499.9999999999979
5.0,1.3125,499.9999999999986
5.0,1.4375,500.00000000000057
5.0,1.5625,499.99999999999983
5.0,1.6875,499.99999999999795
5.0,1.8125,500.0
5.0,1.9375,500.0000000000028
5.0,2.0625,499.9999999999991
5.0,2.1875,500.0000000000004
5.0,2.3125,499.9999999999995
5.0,2.4375,499.99999999999835
8.0,0.0625,499.9999999999971
8.0,0.1875,500.0000000000029
8.0,0.3125,500.00000000000085
8.0,0.4375,499.99999999999727
8.0,0.5625,499.99999999999966
8.0,0.6875,499.99999999999716
8.0,0.8125,499.9999999999955
8.0,0.9375,500.0000000000047
8.0,1.0625,500.00000000000205
8.0,1.1875,499.9999999999997
8.0,1.3125,499.9999999999948
8.0,1.4375,500.00000000000176
8.0,1.5625,499.99999999999824
8.0,1.6875,499.9999999999984
8.0,1.8125,499.9999999999972
8.0,1.9375,500.00000000000364
8.0,2.0625,500.00000000000097
8.0,2.1875,500.00000000000017
8.0,2.3125,499.9999999999967
8.0,2.4375,499.99999999999966
8.0,0.0625,499.9999999999971
8.0,0.1875,500.0000000000029
8.0,0.3125,500.00000000000085
8.0,0.4375,499.99999999999727
8.0,0.5625,499.99999999999966
8.0,0.6875,499.99999999999716
8.0,0.8125,499.9999999999955
8.0,0.9375,500.0000000000047
8.0,1.0625,500.00000000000205
8.0,1.1875,499.9999999999997
8.0,1.3125,499.9999999999948
8.0,1.4375,500.00000000000176
8.0,1.5625,499.99999999999824
8.0,1.6875,499.9999999999984
8.0,1.8125,499.9999999999972
8.0,1.9375,500.00000000000364
8.0,2.0625,500.00000000000097
8.0,2.1875,500.00000000000017
8.0,2.3125,499.9999999999967
8.0,2.4375,499.99999999999966
10.0,0.0625,500.00000000000193
10.0,0.1875,499.9999999999972
10.0,0.3125,500.00000000000193
10.0,0.4375,499.9999999999821
10.0,0.5625,499.99999999999295
10.0,0.6875,500.0000000000066
10.0,0.8125,499.99999999999835
10.0,0.9375,499.9999999999997
10.0,1.0625,499.999999999992
10.0,1.1875,499.99999999999875
10.0,1.3125,499.99999999999983
10.0,1.4375,499.99999999999386
10.0,1.5625,500.00000000000256
10.0,1.6875,499.9999999999957
10.0,1.8125,500.00000000000216
10.0,1.9375,500.00000000000114
10.0,2.0625,500.00000000000466
10.0,2.1875,500.00000000000216
10.0,2.3125,500.00000000001097
10.0,2.4375,499.99999999999454
10.0,0.0625,500.00000000000193
10.0,0.1875,499.9999999999972
10.0,0.3125,500.00000000000193
10.0,0.4375,499.9999999999821
10.0,0.5625,499.99999999999295
10.0,0.6875,500.0000000000066
10.0,0.8125,499.99999999999835
10.0,0.9375,499.9999999999997
10.0,1.0625,499.999999999992
10.0,1.1875,499.99999999999875
10.0,1.3125,499.99999999999983
10.0,1.4375,499.99999999999386
10.0,1.5625,500.00000000000256
10.0,1.6875,499.9999999999957
10.0,1.8125,500.00000000000216
10.0,1.9375,500.00000000000114
10.0,2.0625,500.00000000000466
10.0,2.1875,500.00000000000216
10.0,2.3125,500.00000000001097
10.0,2.4375,499.99999999999454
10.0,0.0625,500.00000000000193
10.0,0.1875,499.9999999999972
10.0,0.3125,500.00000000000193
10.0,0.4375,499.9999999999821
10.0,0.5625,499.99999999999295
10.0,0.6875,500.0000000000066
10.0,0.8125,499.99999999999835
10.0,0.9375,499.9999999999997
10.0,1.0625,499.999999999992
10.0,1.1875,499.99999999999875
10.0,1.3125,499.99999999999983
10.0,1.4375,499.99999999999386
10.0,1.5625,500.00000000000256
10.0,1.6875,499.9999999999957
10.0,1.8125,500.00000000000216
10.0,1.9375,500.00000000000114
10.0,2.0625,500.00000000000466
10.0,2.1875,500.00000000000216
10.0,2.3125,500.00000000001097
10.0,2.4375,499.99999999999454
12.0,0.0625,500.2013323708504
12.0,0.1875,500.00044568830333
12.0,0.3125,500.00000073315096
12.0,0.4375,500.00000000093695
12.0,0.5625,499.99999999999585
12.0,0.6875,500.0000000000077
12.0,0.8125,499.99999999999926
12.0,0.9375,499.99999999999994
12.0,1.0625,499.9999999999901
12.0,1.1875,500.00000000000273
12.0,1.3125,499.99999999999653
12.0,1.4375,500.00000000000085
12.0,1.5625,499.9999999999989
12.0,1.6875,499.99999999999136
12.0,1.8125,500.000000000006
12.0,1.9375,499.9999999999924
12.0,2.0625,500.00000000000756
12.0,2.1875,500.00000000000153
12.0,2.3125,500.00000000001535
12.0,2.4375,499.99999999999403
12.0,0.0625,500.2013323708483
12.0,0.1875,500.0004456883
12.0,0.3125,500.00000073315215
12.0,0.4375,500.00000000094025
12.0,0.5625,499.99999999999756
12.0,0.6875,500.00000000000307
12.0,0.8125,499.99999999999704
12.0,0.9375,500.000000000002
12.0,1.0625,499.9999999999914
12.0,1.1875,500.00000000000097
12.0,1.3125,499.99999999999727
12.0,1.4375,499.99999999999966
12.0,1.5625,499.9999999999999
12.0,1.6875,499.999999999989
12.0,1.8125,500.0000000000037
12.0,1.9375,499.9999999999934
12.0,2.0625,500.00000000000585
12.0,2.1875,500.0000000000026
12.0,2.3125,500.0000000000157
12.0,2.4375,499.99999999999136
20.0,0.0625,505.124096748665
20.0,0.1875,500.05900420907125
20.0,0.3125,500.00050798428447
20.0,0.4375,500.0000034948645
20.0,0.5625,500.0000000200417
20.0,0.6875,500.0000000001048
20.0,0.8125,499.99999999999477
20.0,0.9375,500.00000000000637
20.0,1.0625,499.9999999999883
20.0,1.1875,500.0000000000033
20.0,1.3125,499.99999999999545
20.0,1.4375,500.0000000000002
20.0,1.5625,500.00000000000153
20.0,1.6875,499.99999999997954
20.0,1.8125,500.0000000000051
20.0,1.9375,499.99999999999017
20.0,2.0625,500.0000000000066
20.0,2.1875,499.9999999999989
20.0,2.3125,500.0000000000173
20.0,2.4375,500.0000000000047
20.0,0.0625,505.12409674329854
20.0,0.1875,500.0590042090091
20.0,0.3125,500.00050798428236
20.0,0.4375,500.0000034948633
20.0,0.5625,500.00000002004396
20.0,0.6875,500.0000000001048
20.0,0.8125,499.9999999999937
20.0,0.9375,500.00000000000625
20.0,1.0625,499.9999999999893
20.0,1.1875,500.0000000000033
20.0,1.3125,499.99999999999545
20.0,1.4375,499.9999999999992
20.0,1.5625,500.00000000000193
20.0,1.6875,499.99999999998056
20.0,1.8125,500.00000000000574
20.0,1.9375,499.99999999999056
20.0,2.0625,500.0000000000062
20.0,2.1875,500.0000000000006
20.0,2.3125,500.0000000000162
20.0,2.4375,500.00000000000324
20.0,0.0625,505.12409674329854
20.0,0.1875,500.0590042090091
20.0,0.3125,500.00050798428236
20.0,0.4375,500.0000034948633
20.0,0.5625,500.00000002004396
20.0,0.6875,500.0000000001048
20.0,0.8125,499.9999999999937
20.0,0.9375,500.00000000000625
20.0,1.0625,499.9999999999893
20.0,1.1875,500.0000000000033
20.0,1.3125,499.99999999999545
20.0,1.4375,499.9999999999992
20.0,1.5625,500.00000000000193
20.0,1.6875,499.99999999998056
20.0,1.8125,500.00000000000574
20.0,1.9375,499.99999999999056
20.0,2.0625,500.0000000000062
20.0,2.1875,500.0000000000006
20.0,2.3125,500.0000000000162
20.0,2.4375,500.00000000000324
